SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002_mock3_indexG3	CoV002_mock2_indexG2	CoV002_mock1_indexG1	CoV002_CoV2_3_indexG6	CoV002_CoV2_2_indexG5	CoV002_CoV2_1_indexG4	svRNA184_mock_3_indexF3	svRNA184_mock_1_indexF1	svRNA184_RSV_3_indexH9	svRNA184_RSV_1_indexF4	X3_9_mock1_13	X3_9_mock2_14	X3_9_wt1_15	X3_9_wt2_16
ENSG00000116251	4150	3374	6186	3925	4344	11992	5578	3085	2539	8870	7026	4349	9852	7919	2551	2088	1159	3120	2315	564
ENSG00000116254	1	3	6	0	5	6	46	33	32	78	69	55	9	10	3	5	11	17	8	6
ENSG00000116260	2925	2986	4232	3571	2783	8341	2470	1389	1017	2618	2561	1933	1415	1298	705	696	366	700	255	209
ENSG00000116266	424	394	744	295	388	984	553	267	193	881	486	363	426	372	109	39	114	280	470	61
ENSG00000116273	216	176	307	158	203	482	400	232	180	518	419	349	332	342	121	76	51	103	65	28
ENSG00000116285	1721	1520	2666	1732	2079	5900	2096	1182	898	3397	2546	1906	2622	3369	1456	771	360	786	828	214
ENSG00000116288	1780	1560	2592	1525	1676	4824	4414	2450	1778	5614	4557	3275	5464	3828	1537	1063	862	1819	2167	446
ENSG00000116299	15	14	18	6	13	22	49	19	15	39	43	32	44	30	4	7	12	29	18	6
ENSG00000116329	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000116337	346	278	481	367	291	824	976	530	390	1004	997	756	1394	1170	329	257	176	316	258	80
ENSG00000116350	2068	1857	2961	1780	1871	5258	1327	794	651	1714	1548	1228	1919	1436	613	378	299	664	843	161
ENSG00000116353	201	183	213	134	164	455	313	218	157	408	346	304	425	320	104	82	71	122	93	16
ENSG00000116396	77	67	73	82	51	200	196	111	92	192	170	129	102	63	51	42	19	51	13	8
ENSG00000116406	538	573	1159	557	547	1488	676	312	262	1125	716	557	317	380	85	33	140	321	482	92
ENSG00000116455	774	646	1184	615	645	2088	972	609	403	1139	1026	775	641	636	211	140	190	264	253	114
ENSG00000116473	620	509	784	394	454	1312	382	168	162	511	352	256	246	207	54	32	66	163	290	50
ENSG00000116478	2041	1805	2958	1754	1744	5334	2323	1403	1121	3119	2609	1952	2708	2197	704	393	448	926	1158	306
ENSG00000116489	1979	1986	3638	1539	1784	5044	2265	1097	737	3555	2140	1596	1020	1289	401	180	484	1021	1302	284
ENSG00000116497	288	247	425	203	229	599	536	255	187	842	548	457	418	501	189	78	119	216	288	74
ENSG00000116514	406	296	579	380	361	1054	578	301	225	632	565	389	183	174	127	112	88	189	304	62
ENSG00000116521	481	488	712	509	392	1308	2261	1263	861	2391	2316	1616	1471	1362	540	419	434	825	391	202
ENSG00000116525	115	133	184	157	101	329	74	41	23	84	64	51	65	64	24	20	9	34	14	7
ENSG00000116539	1366	1129	1878	956	1064	3110	1382	676	518	1669	1193	927	531	552	201	97	322	759	808	130
ENSG00000116544	0	0	1	0	1	0	4	1	1	3	4	1	11	6	7	0	0	2	1	0
ENSG00000116560	4192	3502	5775	3012	3518	9571	5904	3067	2576	7595	6356	4834	4456	3373	1488	709	1461	3122	3110	658
ENSG00000116574	19	9	28	12	9	38	332	207	134	430	322	273	132	151	35	29	38	93	111	23
ENSG00000116580	942	922	1450	957	906	2694	948	489	386	1078	920	728	571	474	187	142	161	351	375	70
ENSG00000116584	798	729	1097	854	841	2491	826	462	347	898	867	675	1481	1079	499	337	190	370	347	98
ENSG00000116586	1081	929	1191	1209	883	2770	1229	739	550	1508	1468	1028	2509	1622	712	543	210	522	253	102
ENSG00000116604	899	842	1329	898	838	2407	1428	794	650	1382	1334	1041	1332	861	372	264	233	457	266	73
ENSG00000116641	840	828	1452	745	833	2412	832	385	307	1238	910	629	221	243	48	39	178	379	511	86
ENSG00000116649	336	318	458	394	325	1167	1274	677	488	1162	1200	920	2435	1447	736	451	198	351	298	150
ENSG00000116661	753	716	1150	938	581	1825	143	78	77	214	174	176	628	527	339	280	29	47	19	10
ENSG00000116663	114	80	142	108	84	313	198	102	71	239	214	164	231	141	127	104	36	88	28	8
ENSG00000116667	467	428	781	287	354	975	121	70	61	235	153	130	84	83	22	15	35	71	77	11
ENSG00000116668	69	90	148	50	75	148	105	54	20	127	91	66	55	66	26	7	20	48	64	13
ENSG00000116670	100	93	134	112	81	219	504	316	231	602	618	459	653	401	226	124	115	229	210	60
ENSG00000116675	86	58	150	78	60	208	172	86	97	204	189	151	36	37	14	8	38	92	109	21
ENSG00000116678	150	142	305	156	149	328	92	53	25	182	93	81	27	42	12	6	45	84	120	40
ENSG00000116679	1963	1683	3004	1646	1722	5046	1815	848	621	2806	1826	1363	625	775	153	71	266	593	691	135
ENSG00000116685	512	515	694	534	392	1210	1397	754	629	1461	1399	1127	1713	1243	432	315	225	412	243	79
ENSG00000116688	2974	2513	4102	2861	2477	7177	2103	1108	844	2253	2058	1574	946	695	250	203	419	709	610	192
ENSG00000116690	7	10	0	3	3	23	8	3	1	8	5	3	44	76	28	11	0	1	2	1
ENSG00000116691	117	131	156	120	110	323	318	202	135	317	373	247	494	302	179	94	57	120	43	23
ENSG00000116698	1759	1480	2528	1517	1601	4680	1504	845	674	1921	1527	1220	1233	1016	415	239	341	710	780	163
ENSG00000116701	318	278	428	329	365	1195	92	56	34	92	74	51	10	15	16	18	7	18	18	3
ENSG00000116703	1	1	2	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000116704	414	476	829	344	326	902	423	221	169	532	345	263	251	264	68	42	66	154	157	34
ENSG00000116711	103	105	199	63	82	268	1663	771	573	3370	1976	1490	1686	2409	559	314	146	327	310	82
ENSG00000116717	5779	5446	8129	4780	5905	14920	386	209	171	476	466	343	677	539	222	103	77	182	234	45
ENSG00000116721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000116729	931	864	1307	604	671	1845	351	194	150	428	399	303	297	350	160	76	66	151	90	27
ENSG00000116731	1020	926	1319	791	848	2549	462	280	209	634	484	400	254	254	68	38	87	198	242	46
ENSG00000116741	190	206	401	177	194	562	351	203	174	573	479	315	136	145	75	49	41	105	270	64
ENSG00000116745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000116747	134	146	331	113	94	262	341	184	106	621	313	220	136	163	36	20	92	210	349	46
ENSG00000116748	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116750	242	282	656	253	268	703	796	500	262	1485	898	627	329	399	109	54	150	373	653	80
ENSG00000116752	355	362	766	308	307	805	433	253	133	729	510	333	249	313	109	32	118	227	345	46
ENSG00000116754	4155	3573	4971	2677	3437	8938	1574	858	579	2315	1670	1196	2134	2164	1053	394	412	1097	812	174
ENSG00000116761	48	47	74	37	36	129	59	32	17	102	69	63	150	106	38	12	11	35	44	6
ENSG00000116771	25	12	25	9	6	46	283	150	129	369	312	227	245	230	30	23	54	94	52	17
ENSG00000116774	7	7	11	13	10	35	47	23	16	53	66	48	331	239	98	87	27	58	54	22
ENSG00000116783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116785	1	3	2	1	2	9	13	7	1	14	8	8	51	56	12	6	7	11	6	3
ENSG00000116786	1003	993	1340	1068	797	2434	1336	695	558	1332	1265	971	1060	872	342	197	191	323	244	101
ENSG00000116791	623	456	901	410	440	1356	2145	956	819	2973	1992	1479	1981	1639	579	261	459	1030	1469	287
ENSG00000116793	199	169	266	132	169	489	518	290	237	750	537	432	287	259	124	53	93	214	287	54
ENSG00000116809	189	230	320	324	179	648	328	225	183	387	408	304	514	348	203	114	60	115	134	19
ENSG00000116815	72	127	290	101	100	235	286	157	91	513	295	199	205	320	124	57	61	117	212	36
ENSG00000116819	1	2	9	6	7	9	8	8	6	9	11	9	37	25	8	11	1	2	4	1
ENSG00000116824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116830	250	242	410	249	304	747	981	548	442	1248	1026	813	283	264	77	44	223	461	547	91
ENSG00000116833	1	0	0	2	0	1	371	189	124	541	348	272	358	317	137	71	96	181	205	44
ENSG00000116852	17	11	12	30	10	57	231	132	108	248	275	220	142	124	101	86	33	73	37	21
ENSG00000116857	861	823	1202	750	708	2323	2131	1253	863	2530	2405	1660	2996	2337	739	693	297	528	438	145
ENSG00000116863	641	615	762	660	586	1652	616	347	291	695	666	483	655	406	257	205	99	161	80	34
ENSG00000116871	1951	1979	3033	2525	1793	5999	2486	1352	1093	2408	2684	2001	1723	1322	550	428	383	684	458	152
ENSG00000116874	55	53	108	50	65	174	222	143	60	277	213	123	148	168	39	23	49	106	109	25
ENSG00000116882	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000116885	67	74	104	76	73	206	78	42	46	105	104	66	222	154	48	42	20	41	38	8
ENSG00000116898	1432	1208	2029	1092	1190	3797	1319	742	602	1697	1429	1073	2523	1625	910	455	270	582	550	170
ENSG00000116903	202	234	353	222	207	634	503	305	226	603	447	375	153	190	33	27	100	186	221	43
ENSG00000116906	486	485	881	414	445	1248	1630	927	627	2522	1730	1346	1191	1073	409	191	337	696	812	223
ENSG00000116918	204	181	402	214	164	501	371	253	178	637	419	339	533	473	118	70	125	274	362	66
ENSG00000116922	246	205	338	172	177	613	382	260	181	521	432	353	212	163	50	23	98	187	257	45
ENSG00000116954	438	519	955	387	429	1103	588	307	207	638	440	343	127	218	50	32	113	205	215	59
ENSG00000116962	84	100	124	40	40	73	237	153	89	310	295	243	22	40	12	5	13	17	43	13
ENSG00000116977	2251	2249	3562	1668	1762	4835	1121	595	424	1521	1094	781	784	1033	560	222	209	492	656	124
ENSG00000116981	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000116983	5	2	6	2	1	4	5	0	0	2	6	3	5	8	10	1	0	2	1	0
ENSG00000116984	607	523	964	484	538	1583	1094	549	474	1394	1040	779	414	448	117	67	234	460	486	91
ENSG00000116985	3	3	2	1	0	2	297	194	144	364	288	237	67	83	22	18	42	72	44	18
ENSG00000116991	243	218	368	201	220	667	428	257	217	518	500	398	150	180	49	43	92	190	250	51
ENSG00000116996	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117000	356	496	881	339	372	957	441	211	140	775	410	335	241	315	105	37	76	140	265	47
ENSG00000117009	36	56	82	64	72	158	16	7	8	18	17	14	21	7	4	3	3	6	7	0
ENSG00000117010	25	28	42	8	15	60	35	22	8	67	45	24	42	22	2	2	8	13	29	1
ENSG00000117013	6	1	4	2	0	5	8	3	7	4	7	3	15	8	5	2	2	4	2	3
ENSG00000117016	43	34	63	29	27	90	197	146	87	298	236	173	140	113	56	33	39	76	39	15
ENSG00000117020	289	260	631	258	257	698	1411	718	514	1947	1380	1053	589	738	283	127	284	606	847	139
ENSG00000117036	227	202	397	217	274	774	218	153	81	219	213	156	21	23	13	4	40	87	70	18
ENSG00000117054	458	438	846	420	383	1100	671	368	269	1181	753	571	331	433	112	48	143	410	491	76
ENSG00000117069	47	30	61	28	35	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117115	38	37	67	55	46	143	142	74	53	185	159	117	66	99	30	25	39	57	68	19
ENSG00000117118	955	828	1343	950	879	2853	1733	951	708	2457	1864	1436	1602	1291	423	332	308	748	933	226
ENSG00000117122	879	872	1102	907	794	2352	0	1	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000117133	365	362	733	397	390	1103	455	277	154	883	556	454	368	425	167	93	125	354	470	96
ENSG00000117139	2350	2151	3701	2019	2169	6059	907	424	390	1251	879	764	1041	1020	411	284	240	461	626	116
ENSG00000117143	678	537	1128	679	663	2272	626	295	261	887	652	504	300	280	74	59	108	241	284	48
ENSG00000117148	0	0	0	0	0	0	10	11	4	10	8	7	2	1	0	0	2	5	6	1
ENSG00000117151	54	100	158	80	58	171	211	114	93	402	242	193	254	302	66	49	41	118	152	25
ENSG00000117152	4	2	8	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117153	615	433	896	445	506	1241	966	567	424	1380	1052	752	509	562	153	89	253	486	433	106
ENSG00000117154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117155	135	175	343	94	135	326	467	246	125	787	491	371	152	153	52	23	98	239	418	67
ENSG00000117174	642	579	976	534	585	1747	492	274	146	861	553	414	366	427	110	74	135	369	416	79
ENSG00000117215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117222	366	326	596	341	338	1014	693	356	295	895	633	525	290	252	81	50	147	297	292	70
ENSG00000117226	980	872	1442	838	960	2570	119	70	38	272	194	134	151	173	150	72	8	21	38	5
ENSG00000117228	209	255	350	267	287	724	57	28	17	128	116	70	59	63	192	97	1	5	3	0
ENSG00000117245	14	3	3	4	0	14	24	15	12	39	33	31	29	24	11	5	6	9	6	2
ENSG00000117262	19	25	42	21	16	99	97	71	33	125	103	60	97	69	38	9	21	29	33	11
ENSG00000117266	905	971	1307	1092	921	2663	42	23	22	77	44	44	200	161	107	51	14	23	10	2
ENSG00000117281	1	0	0	1	1	1	9	4	5	6	6	4	8	6	5	3	1	0	4	2
ENSG00000117298	2628	2387	3387	2669	2281	6759	6003	3494	2515	6744	6188	4636	3483	2604	944	566	732	1339	1100	272
ENSG00000117305	608	450	649	415	444	1216	375	227	207	446	354	251	733	565	249	149	72	144	84	30
ENSG00000117308	478	497	670	567	485	1440	1482	955	686	1567	1554	1088	1797	1207	537	426	189	295	166	104
ENSG00000117318	683	735	1228	686	514	1588	4112	2489	1791	4519	4141	3170	5015	4169	2561	1672	282	690	401	303
ENSG00000117322	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
ENSG00000117335	903	1012	2021	875	870	2576	5329	2795	1748	9063	5205	3897	3663	4760	1128	582	892	1792	1894	348
ENSG00000117360	918	700	1212	743	784	2252	1419	828	704	2035	1710	1263	1835	1228	531	321	365	830	827	144
ENSG00000117362	1044	958	1394	956	994	2511	3459	2070	1521	3815	3487	2636	2329	2067	584	415	570	1095	384	197
ENSG00000117394	7681	7767	11053	6655	5885	16607	6189	3622	2886	6293	6055	4545	2359	2230	862	618	811	1566	524	271
ENSG00000117395	1267	1039	1637	1118	1155	3616	2455	1437	1202	3036	2720	2056	1901	1294	684	479	457	983	1900	333
ENSG00000117399	280	198	380	208	220	589	2738	1590	1284	2937	2891	2198	1362	784	198	207	613	1316	1241	444
ENSG00000117400	1	6	0	3	3	1	1	0	5	5	5	4	5	10	3	2	1	0	0	1
ENSG00000117407	206	214	235	232	195	518	8	7	2	16	10	5	50	30	18	10	4	5	1	1
ENSG00000117408	717	756	991	738	591	1975	679	352	292	666	582	435	499	367	133	88	114	202	105	43
ENSG00000117410	456	482	667	500	431	1361	1515	935	637	1593	1514	1021	1979	1467	865	562	179	336	60	64
ENSG00000117411	694	617	1010	883	699	2128	1221	752	532	1270	1197	933	1138	800	295	294	173	301	268	87
ENSG00000117419	288	236	424	312	244	760	911	545	388	1055	982	733	937	681	234	160	176	373	166	91
ENSG00000117425	7	7	0	8	9	14	29	14	12	17	18	9	75	48	19	11	3	0	9	3
ENSG00000117448	420	398	646	500	419	1156	1994	1197	758	2103	1760	1245	2529	2009	651	517	302	475	337	158
ENSG00000117450	5809	4864	8378	4728	5195	15681	28496	15301	11649	37197	28114	19759	26991	20499	9630	6769	4688	8926	9313	2629
ENSG00000117461	502	457	909	354	386	956	79	50	37	98	68	53	44	52	32	24	22	58	66	11
ENSG00000117472	5312	4454	6118	3805	4036	11742	35	14	13	26	20	12	24	29	5	4	3	4	9	0
ENSG00000117475	435	412	786	398	434	1304	372	192	171	757	463	344	206	225	80	56	80	197	251	39
ENSG00000117479	88	73	179	74	79	210	260	124	93	367	234	173	236	248	66	14	34	79	106	25
ENSG00000117480	51	48	104	41	31	101	15	6	4	11	10	5	59	40	11	7	1	5	5	1
ENSG00000117481	377	327	529	292	322	994	462	277	200	613	490	410	380	328	123	89	115	221	158	54
ENSG00000117500	547	644	1062	455	454	1485	951	497	315	1663	982	777	468	645	169	64	175	461	858	175
ENSG00000117501	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000117505	591	545	1055	463	479	1356	620	375	260	864	687	560	206	151	75	41	187	312	373	74
ENSG00000117507	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000117519	2177	1822	2740	1478	1763	4972	2172	1125	916	3043	2315	1724	1306	1068	330	215	355	813	1245	212
ENSG00000117523	9257	8038	12475	7333	7858	22496	5023	2500	2224	6228	4999	3711	3632	3317	1147	753	1209	2588	3142	490
ENSG00000117525	9600	8527	13395	10120	11091	31900	71	43	46	93	84	79	115	104	60	40	11	21	19	9
ENSG00000117528	358	407	882	370	310	877	1083	490	377	1817	1138	797	459	498	100	58	241	486	729	123
ENSG00000117533	122	178	410	157	127	338	142	67	45	200	134	98	174	157	38	21	41	89	134	21
ENSG00000117543	395	350	628	302	372	1026	513	259	214	892	523	436	697	631	163	100	114	260	343	60
ENSG00000117560	2	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117569	95	154	270	86	89	264	218	117	71	378	212	165	247	277	51	20	57	116	179	24
ENSG00000117586	11	4	24	10	12	33	1	0	0	3	1	1	0	3	0	1	0	1	1	0
ENSG00000117592	1365	1271	2155	1334	1150	3777	4211	2143	1505	6038	4305	2915	6227	4913	1828	1278	901	1915	1848	567
ENSG00000117593	574	479	793	454	430	1381	2375	1232	977	3527	2684	1842	786	753	194	109	476	1029	1080	286
ENSG00000117594	891	722	1214	881	1051	3330	8	6	3	25	27	20	43	40	33	26	0	0	1	0
ENSG00000117595	6449	5743	9200	5492	6300	18044	5	0	3	6	1	4	17	12	0	0	1	0	2	0
ENSG00000117601	3	0	0	1	5	5	3	0	0	2	1	0	0	0	0	0	0	1	0	0
ENSG00000117602	228	174	336	174	155	498	306	173	159	464	306	213	245	177	72	39	66	132	199	42
ENSG00000117614	1330	1209	2008	1037	1127	3000	612	387	260	1091	725	452	1071	1203	389	170	197	579	752	92
ENSG00000117620	189	266	631	195	195	629	314	192	87	543	291	201	197	234	32	19	71	144	165	42
ENSG00000117625	439	410	573	337	314	1047	304	158	115	407	283	244	505	386	120	63	78	206	226	47
ENSG00000117632	825	665	1159	626	738	2255	3235	1683	1342	5102	3417	2437	2117	1690	341	247	804	1727	2873	458
ENSG00000117640	390	402	566	374	386	980	401	251	229	543	506	343	533	441	190	94	86	201	160	68
ENSG00000117643	24	24	31	7	13	30	25	17	12	31	27	16	60	39	6	3	5	9	10	3
ENSG00000117650	80	67	155	58	68	140	1121	636	515	1630	1207	950	414	390	49	24	345	806	1139	193
ENSG00000117676	1100	894	1374	1100	1001	2793	748	477	390	848	805	602	693	506	183	135	154	259	211	105
ENSG00000117682	576	568	900	587	601	1814	482	282	216	481	469	331	409	321	118	88	78	177	124	49
ENSG00000117691	276	313	457	311	289	743	1822	1031	869	2008	2052	1445	2387	1610	577	458	335	588	321	160
ENSG00000117697	250	181	338	165	171	559	900	502	375	1455	953	733	449	415	217	111	198	474	570	98
ENSG00000117707	7	9	10	5	7	22	3	0	2	2	0	3	5	4	2	1	0	1	6	2
ENSG00000117713	2240	2015	3142	2042	1915	5657	2005	1058	829	2085	1950	1427	925	799	288	182	387	725	589	153
ENSG00000117724	592	520	1192	403	394	1183	6141	2735	2030	8899	5567	3731	1811	1585	254	147	1441	3278	4830	717
ENSG00000117748	401	374	757	355	336	978	984	515	419	1320	1088	771	470	419	149	100	194	403	444	89
ENSG00000117751	514	423	790	415	382	1323	855	487	305	1231	906	658	374	409	83	72	182	334	367	85
ENSG00000117758	438	382	758	371	379	1223	333	199	150	547	348	282	247	301	56	24	83	141	253	37
ENSG00000117791	19	31	56	10	18	72	321	187	171	448	337	269	368	306	102	59	54	125	67	23
ENSG00000117834	0	0	0	1	0	0	5	2	2	4	8	3	138	96	6	2	0	0	3	0
ENSG00000117859	1675	1596	3055	1359	1560	4035	2239	1149	804	3402	2278	1674	2000	2024	672	327	376	858	1236	197
ENSG00000117862	654	566	948	441	577	1730	1666	927	664	2366	1571	1199	2074	1608	478	253	320	617	981	216
ENSG00000117868	2038	1833	2589	1648	1603	4212	3618	1974	1575	4492	3613	2895	2823	2631	896	509	646	1195	1461	301
ENSG00000117877	274	298	467	254	262	852	183	138	74	191	167	133	148	117	54	31	44	83	63	33
ENSG00000117906	768	706	1193	615	749	1994	2568	1406	966	3809	2583	2099	1378	1448	406	205	551	1408	1882	356
ENSG00000117971	20	12	22	13	23	43	21	9	9	11	16	8	15	11	3	0	1	4	4	1
ENSG00000117983	0	0	1	2	1	0	509	229	172	505	373	309	14232	12552	5048	2909	137	274	152	54
ENSG00000117984	6998	8637	10226	7324	4425	13388	10601	5910	4486	9984	9700	7520	19300	15059	4816	3720	1524	2803	828	558
ENSG00000118004	0	0	0	0	0	0	6	4	2	11	6	3	23	11	2	3	1	2	4	1
ENSG00000118007	298	294	480	268	284	715	839	364	300	1152	692	585	310	329	69	39	160	334	492	93
ENSG00000118017	0	0	0	0	0	0	27	16	11	24	15	10	18	23	7	4	5	8	2	1
ENSG00000118046	489	550	712	538	378	1107	1145	634	525	1240	1270	899	1787	1222	658	300	215	426	207	86
ENSG00000118094	1	2	2	0	0	2	6	3	3	1	4	0	3	2	0	0	0	0	2	0
ENSG00000118096	296	247	390	226	223	670	420	184	182	551	410	313	405	282	115	64	100	187	215	33
ENSG00000118113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118137	1	0	0	0	0	0	2	0	1	1	1	0	4	1	0	0	1	1	0	0
ENSG00000118156	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118160	16	23	11	7	10	27	4	2	1	3	3	4	19	13	13	7	1	3	0	0
ENSG00000118162	65	53	72	69	68	180	386	236	149	449	422	308	616	445	229	157	80	121	68	39
ENSG00000118181	21187	17956	29702	16272	17796	50380	8386	5115	4261	12662	11106	7090	20387	12700	7223	4454	1560	4616	2691	366
ENSG00000118193	43	73	133	67	53	165	1166	656	458	1903	1172	887	198	232	32	18	329	856	1268	176
ENSG00000118194	24	29	33	16	19	76	0	0	1	1	2	1	3	1	3	3	0	0	0	0
ENSG00000118197	171	150	258	129	170	397	493	294	195	741	548	408	406	538	132	69	121	283	388	39
ENSG00000118200	1963	1915	3654	1637	1825	5256	1083	540	358	1516	1062	725	384	429	108	41	230	517	844	150
ENSG00000118217	1164	1033	1830	883	960	2834	1185	560	432	1700	1209	892	718	699	231	165	194	532	635	108
ENSG00000118231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118242	179	119	251	157	154	459	248	148	107	386	286	216	192	229	123	73	40	83	47	16
ENSG00000118245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118246	270	301	554	297	254	842	1219	596	348	1953	1171	858	449	630	154	82	249	493	656	123
ENSG00000118257	560	434	745	438	499	1380	6035	3219	2594	7715	6664	5104	1890	1517	1259	749	940	1967	2198	543
ENSG00000118260	681	769	1631	673	724	2189	804	389	329	1179	845	599	442	510	162	114	184	366	563	87
ENSG00000118263	2657	2415	3734	2121	2492	7028	1611	806	639	2009	1529	1156	480	491	195	104	295	569	574	149
ENSG00000118271	0	0	0	1	0	0	2	0	0	2	0	0	17	14	1	0	1	2	1	0
ENSG00000118276	59	50	101	60	61	169	177	90	81	260	184	148	117	85	46	24	46	94	172	41
ENSG00000118292	12	12	25	9	11	28	0	1	0	2	0	1	4	6	1	0	0	0	2	0
ENSG00000118298	2	1	2	1	0	2	8	4	0	2	7	5	12	9	1	0	0	5	2	2
ENSG00000118307	5	1	3	2	3	0	4	6	4	10	2	5	9	18	6	0	4	5	2	2
ENSG00000118308	117	94	145	47	60	132	0	0	0	0	0	1	0	0	0	0	0	0	1	1
ENSG00000118322	84	84	107	73	77	185	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000118363	384	337	500	259	348	978	1171	714	450	1806	1300	920	1228	891	427	251	186	498	420	106
ENSG00000118369	227	233	345	262	261	673	283	193	138	319	320	264	272	212	69	70	61	97	44	21
ENSG00000118402	253	267	461	177	191	540	26	14	16	41	36	21	73	59	18	13	5	22	24	3
ENSG00000118407	3	0	2	2	3	0	283	184	124	619	463	318	165	151	41	29	28	45	76	6
ENSG00000118412	255	205	446	203	204	567	560	253	149	987	534	410	205	196	60	22	127	327	422	67
ENSG00000118418	2177	1666	2428	1355	1715	4296	607	296	290	995	687	469	1839	1149	537	240	125	339	273	50
ENSG00000118420	19	25	46	26	22	91	99	56	39	139	135	89	104	84	20	16	23	41	27	14
ENSG00000118432	0	0	0	0	0	0	28	16	17	40	23	28	7	14	4	2	0	2	2	1
ENSG00000118434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118454	243	233	350	209	190	608	280	158	140	465	365	268	243	233	64	35	77	138	145	32
ENSG00000118473	0	3	0	2	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118482	1349	1280	2178	1052	1101	3034	1072	495	398	1758	1136	798	976	835	322	125	234	559	721	93
ENSG00000118491	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000118495	232	172	273	191	161	532	276	140	109	285	241	197	242	229	63	27	31	65	74	25
ENSG00000118496	223	229	439	182	200	598	598	262	209	841	574	378	224	246	62	24	116	269	310	98
ENSG00000118503	907	994	1341	2723	2604	6752	703	432	315	1123	1029	779	1366	1207	955	485	41	97	138	41
ENSG00000118507	7	13	22	7	7	19	79	37	20	115	64	46	52	62	9	6	15	26	63	9
ENSG00000118508	315	259	380	274	258	832	1139	595	469	1272	1111	760	421	463	104	111	129	271	124	41
ENSG00000118513	2	2	3	1	4	6	23	20	6	26	11	22	2	5	0	0	4	5	14	2
ENSG00000118514	8	5	9	2	4	7	1	3	1	5	3	4	13	7	3	2	3	1	5	2
ENSG00000118515	803	803	982	635	776	1906	471	263	206	741	507	368	557	500	327	166	44	75	158	41
ENSG00000118518	275	191	371	226	236	598	370	165	138	505	336	240	392	320	102	53	70	174	159	37
ENSG00000118520	0	0	0	0	0	0	1	0	0	4	0	0	0	4	3	0	0	0	0	0
ENSG00000118523	619	623	1035	438	485	1369	739	438	347	941	835	656	1587	1530	215	135	75	121	325	72
ENSG00000118526	0	0	0	0	0	0	21	8	2	28	14	13	40	17	9	3	2	10	3	4
ENSG00000118557	3	3	5	5	1	5	3	2	0	2	3	3	9	3	0	2	0	2	6	1
ENSG00000118564	346	372	838	345	325	921	599	275	186	944	556	397	321	319	152	78	126	285	363	95
ENSG00000118579	148	136	233	117	122	345	333	215	146	483	391	263	251	301	115	65	61	154	107	21
ENSG00000118596	43	49	74	32	30	79	14	6	5	19	9	4	126	88	21	13	12	19	19	5
ENSG00000118620	146	157	259	119	142	375	49	30	19	130	65	57	21	22	4	2	13	25	48	14
